patent_id,score,title,publication_date,search_expressions
2021522620,10,モバイルロボットのためのマップベースのトレーニングおよびインターフェース,20210830,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2020078764,10,除塵装置,20200528,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2010073813,9,微細放電表面改質方法および微細放電表面改質装置,20100402,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2018069223,9,太陽光パネル保守装置,20180510,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
WO2017171045,9,自走式ロボット,20171005,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2020193112,5,改質システム,20201203,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2020514014,5,ＮＯｘ吸着体触媒,20200521,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2020163342,5,排ガス浄化触媒装置,20201008,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2020182913,5,排ガス浄化用触媒,20201112,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2021022433,5,燃料電池用触媒及びその製造方法,20210218,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
