case_id,pattern,syutugan,ax_docs,ay_docs
CASE_0545,ロ,2019092716,2017195914,2015181962;2017023338;2017196033
CASE_0560,ロ,2019111137,2019111141,2017104561;2017123931;2017131317
CASE_0561,ロ,2019111141,2019111137,2017104561;2017123931;2017131317
CASE_0563,イ,2019111457,2016106897,2011078515;2012217771
CASE_0566,イ,2019116049,2017222154,2011143615;2016196104
CASE_0618,ロ,2019150524,2017108952,2014144115;2017153736;2017196262
CASE_0654,イ,2019184855,2017181094,2011156861;2016046595
CASE_0658,イ,2019187957,2017213260,2016140383;2018015134
CASE_0745,イ,2020018344,2018078944,2016174745;2017012545
CASE_0769,ハ,2020036637,2015100507,2016096925;2017189203;2018027425;2018057748
CASE_0771,イ,2020036782,2018126213,2018114058;2018126458
CASE_0803,イ,2020056884,2017116905,2017151293;2018087839
CASE_0808,イ,2020058614,2018134244,2012176034;2016187645
CASE_0809,ロ,2020058716,2018143656,2014046097;2014057894;2017185160
CASE_0821,ロ,2020068851,2018143656,2014046097;2014057894;2017185160
