case_id,syutugan,ax_docs,syutugan_exists,ax_docs_exists,reference_contains,both_exist
CASE_0155,JP2017080220A,JP2015163142A,True,True,False,True
CASE_0365,JP2018143828A,JP2018042603A,True,True,False,True
CASE_0445,JP2019003580A,JP2016024739A,True,True,False,True
CASE_0466,JP2019024709A,JP2017086980A,True,True,False,True
CASE_0493,JP2019044061A,JP2018044095A,True,True,False,True
CASE_0545,JP2019092716A,JP2017195914A,True,True,False,True
CASE_0560,JP2019111137A,JP2019111141A,True,True,True,True
CASE_0561,JP2019111141A,JP2019111137A,True,True,True,True
CASE_0563,JP2019111457A,JP2016106897A,True,True,False,True
CASE_0566,JP2019116049A,JP2017222154A,True,True,False,True
CASE_0618,JP2019150524A,JP2017108952A,True,True,False,True
CASE_0654,JP2019184855A,JP2017181094A,True,True,False,True
CASE_0658,JP2019187957A,JP2017213260A,True,True,False,True
CASE_0745,JP2020018344A,JP2018078944A,True,True,False,True
CASE_0769,JP2020036637A,JP2015100507A,False,True,False,False
CASE_0771,JP2020036782A,JP2018126213A,True,True,False,True
CASE_0803,JP2020056884A,JP2017116905A,True,True,False,True
CASE_0808,JP2020058614A,JP2018134244A,True,False,False,False
CASE_0809,JP2020058716A,JP2018143656A,True,True,False,True
CASE_0821,JP2020068851A,JP2018143656A,True,True,False,True
CASE_0829,JP2020081095A,JP2018175328A,True,True,False,True
CASE_0855,JP2020096650A,JP2018038642A,True,True,False,True
CASE_0893,JP2020120891A,JP2018187480A,True,True,False,True
CASE_0905,JP2020127515A,JP2018166729A,True,True,False,True
CASE_0906,JP2020127516A,JP2018166729A,True,True,False,True
CASE_0912,JP2020130352A,JP2015080606A,True,True,False,True
CASE_0913,JP2020130381A,JP2019000319A,True,True,False,True
CASE_0960,JP2020171155A,JP2019221057A,True,True,False,True
CASE_0971,JP2020178764A,JP2018023886A,True,True,False,True
CASE_0986,JP2020185453A,JP2019000447A,True,True,False,True
CASE_0987,JP2020185454A,JP2019000451A,True,True,False,True
CASE_1027,JP2021003440A,JP2018175053A,True,True,False,True
CASE_1030,JP2021006134A,JP2019000452A,True,True,False,True
CASE_1065,JP2021037176A,JP2017221468A,True,True,False,True
CASE_1104,JP2021069790A,JP2019180868A,True,True,False,True
CASE_1112,JP2021078826A,JP2018015053A,False,True,False,False
CASE_1145,JP2021098772A,JP2018028087A,True,True,False,True
CASE_1148,JP2021100729A,JP2021029525A,True,True,False,True
CASE_1161,JP2021109952A,JP2019151706A,True,True,False,True
CASE_1202,JP2021148587A,JP2019128232A,True,True,False,True
CASE_1215,JP2021159220A,JP2017144012A,True,True,False,True
CASE_1225,JP2021166835A,JP2021104294A,True,True,False,True
CASE_1247,JP2021182955A,JP2019051050A,False,True,False,False
CASE_1315,JP2022056451A,JP2021003364A,True,True,False,True
CASE_1317,JP2022057459A,JP2016131570A,False,True,False,False
CASE_1333,JP2022079658A,JP2021007447A,False,True,False,False
CASE_1337,JP2022084581A,JP2019524260A,False,True,False,False
CASE_1380,JP2022130472A,JP2019515653A,False,True,False,False
CASE_1383,JP2022140025A,JP2019059935A,True,True,False,True
CASE_1399,JP2022166420A,JP2019083896A,True,True,False,True
CASE_1428,JP2022502779A,JP2022503818A,True,True,True,True
CASE_1429,JP2022503818A,JP2022502779A,True,True,True,True
CASE_1455,JP2023021338A,JP2019098040A,False,True,False,False
CASE_1456,JP2023022625A,JP2016046233A,True,True,False,True
CASE_1470,JP2023045705A,JP2019000316A,True,True,False,True
CASE_1475,JP2023048234A,JP2020116319A,True,True,False,True
CASE_1476,JP2023053096A,JP2020059140A,False,True,False,False
CASE_1482,JP2023054032A,JP2019033936A,False,True,False,False
CASE_1483,JP2023054033A,JP2019033936A,False,True,False,False
CASE_1484,JP2023054034A,JP2019033936A,False,True,False,False
CASE_1523,JP2024054527A,JP2022160798A,False,True,False,False
CASE_1622,JPWO2021059806A1,JP2016135732A,False,True,False,False
