case_id,syutugan,expected,cosmos_found,cosmos_results,es_found,es_rank,es_top5,vector_found_10,vector_rank_10,vector_found_50,vector_rank_50,vector_found_100,vector_rank_100,vector_top5_10,hybrid_found_10,hybrid_rank_10,hybrid_found_50,hybrid_rank_50,hybrid_found_100,hybrid_rank_100,hybrid_top5_10
CASE_0155,JP2017080220A,JP2015163142A,True,['JP2015163142A'],True,1,['JP2015163142A'],False,-1,True,19,True,18,"['JP2017080220A', 'JP2019030724A', 'JP2017080214A', 'JP2018130271A', 'JP2017140219A']",True,2,True,2,True,2,"['JP2017080220A', 'JP2015163142A', 'JP2019030724A', 'JP2017080214A', 'JP2018130271A']"
CASE_0365,JP2018143828A,JP2018042603A,True,['JP2018042603A'],True,1,['JP2018042603A'],False,-1,False,-1,False,-1,"['JP2018143828A', 'JP2018143827A', 'JP2020000439A', 'JP2020036986A', 'JP2018099545A']",True,2,True,2,True,2,"['JP2018143828A', 'JP2018042603A', 'JP2018143827A', 'JP2020000439A', 'JP2020036986A']"
CASE_0445,JP2019003580A,JP2016024739A,True,"['JP2011039909A', 'JP2016024739A']",True,2,"['JP2011039909A', 'JP2016024739A']",False,-1,False,-1,False,-1,"['JP2019003580A', 'JP2023059537A', 'JP2019025067A', 'JP2023042305A', 'JP2021016475A']",True,2,True,2,True,2,"['JP2019003580A', 'JP2016024739A', 'JP2011039909A', 'JP2023059537A', 'JP2019025067A']"
CASE_0466,JP2019024709A,JP2017086980A,True,['JP2017086980A'],True,1,['JP2017086980A'],False,-1,False,-1,False,-1,"['JP2019024709A', 'JP2019115767A', 'JP2018164595A', 'JP2017000845A', 'JP2020127515A']",True,2,True,2,True,2,"['JP2019024709A', 'JP2017086980A', 'JP2019115767A', 'JP2018164595A', 'JP2017000845A']"
CASE_0493,JP2019044061A,JP2018044095A,True,['JP2018044095A'],True,1,['JP2018044095A'],True,8,True,8,True,8,"['JP2019044061A', 'JP2020097726A', 'JP2010065171A', 'JP2018194149A', 'JP2021025653A']",True,2,True,2,True,2,"['JP2019044061A', 'JP2018044095A', 'JP2020097726A', 'JP2010065171A', 'JP2018194149A']"
CASE_0545,JP2019092716A,JP2017195914A,True,['JP2017195914A'],True,1,['JP2017195914A'],False,-1,False,-1,False,-1,"['JP2019092717A', 'JP2019092716A', 'JP2018187177A', 'JP2021083764A', 'JP2021016614A']",True,1,True,1,True,1,"['JP2017195914A', 'JP2019092716A', 'JP2019092717A', 'JP2018187177A', 'JP2021083764A']"
CASE_0560,JP2019111137A,JP2019111141A,True,['JP2019111141A'],True,1,['JP2019111141A'],True,7,True,7,True,7,"['JP2019111137A', 'JP2019111135A', 'JP2019111132A', 'JP2018043099A', 'JP2018043100A']",True,2,True,2,True,2,"['JP2019111137A', 'JP2019111141A', 'JP2019111135A', 'JP2019111132A', 'JP2018043099A']"
CASE_0561,JP2019111141A,JP2019111137A,True,['JP2019111137A'],True,1,['JP2019111137A'],True,4,True,4,True,4,"['JP2019111141A', 'JP2019111139A', 'JP2019111140A', 'JP2019111137A', 'JP2019111135A']",True,2,True,2,True,2,"['JP2019111141A', 'JP2019111137A', 'JP2019111139A', 'JP2019111140A', 'JP2019111135A']"
CASE_0563,JP2019111457A,JP2016106897A,True,"['JP2011078515A', 'JP2016106897A']",True,2,"['JP2011078515A', 'JP2016106897A']",True,1,True,1,True,1,"['JP2016106897A', 'JP2019111457A', 'JP2017140178A', 'JP2016163741A', 'JP2018068804A']",True,2,True,2,True,2,"['JP2019111457A', 'JP2016106897A', 'JP2011078515A', 'JP2017140178A', 'JP2016163741A']"
CASE_0566,JP2019116049A,JP2017222154A,True,['JP2017222154A'],True,1,['JP2017222154A'],True,7,True,7,True,7,"['JP2019116049A', 'JP2021146562A', 'JP2022008440A', 'JP2020128540A', 'JP2020139134A']",True,2,True,2,True,2,"['JP2019116049A', 'JP2017222154A', 'JP2021146562A', 'JP2022008440A', 'JP2020128540A']"
