case_id,pattern,syutugan,ax_docs,unique_results,contains_ax_docs,match_index,max_score,times_hit,best_rank,matched_title,per_query_hits,error
CASE_0155,イ,2017080220,2015163142,749,True,130,0.82189894,1,6,ぱちんこ遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0365,イ,2018143828,2018042603,552,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0445,イ,2019003580,2016024739,433,True,347,0.7389803,3,12,情報処理装置,100;100;100;100;100;100;100;100;100;100,
CASE_0466,イ,2019024709,2017086980,536,True,24,0.8347435,5,2,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0493,ロ,2019044061,2018044095,505,True,6,0.81024694,9,6,潤滑剤組成物,100;100;100;100;100;100;100;100;100;100,
CASE_0545,ロ,2019092716,2017195914,511,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0560,ロ,2019111137,2019111141,664,True,288,0.83511543,2,11,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0561,ロ,2019111141,2019111137,643,True,229,0.8457403,3,18,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0563,イ,2019111457,2016106897,645,True,11,0.8616357,5,2,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0566,イ,2019116049,2017222154,543,True,403,0.7515502,5,82,形状支持用液体、立体造形物の製造方法、及び立体造形物の製造装置,100;100;100;100;100;100;100;100;100;100,
CASE_0618,ロ,2019150524,2017108952,650,True,408,0.8090496,1,96,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0654,イ,2019184855,2017181094,524,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0658,イ,2019187957,2017213260,536,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0745,イ,2020018344,2018078944,607,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0771,イ,2020036782,2018126213,596,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0803,イ,2020056884,2017116905,352,True,19,0.82272243,10,19,光源装置及び投影装置,100;100;100;100;100;100;100;100;100;100,
CASE_0809,ロ,2020058716,2018143656,584,True,183,0.830019,3,71,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0821,ロ,2020068851,2018143656,580,True,413,0.82095146,2,94,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0829,ロ,2020081095,2018175328,853,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0855,イ,2020096650,2018038642,548,True,396,0.83748865,2,93,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0893,ロ,2020120891,2018187480,586,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0905,イ,2020127515,2018166729,688,True,340,0.83306265,1,22,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0906,イ,2020127516,2018166729,740,True,227,0.82884645,1,31,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0912,イ,2020130352,2015080606,509,True,88,0.8600526,4,44,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0913,イ,2020130381,2019000319,517,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_0960,イ,2020171155,2019221057,367,True,0,0.8352251,8,2,協調型発電設備およびそれを用いた余剰電力の活用方法,100;100;100;100;100;100;100;100;100;100,
CASE_0971,ロ,2020178764,2018023886,478,True,137,0.8492708,2,49,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0986,ハ,2020185453,2019000447,725,True,108,0.8471637,3,82,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_0987,ハ,2020185454,2019000451,702,True,0,0.87817764,4,1,遊技機,100;100;100;100;100;100;100;100;100;100,
CASE_1027,ロ,2021003440,2018175053,574,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1030,ロ,2021006134,2019000452,534,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1065,イ,2021037176,2017221468,630,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1104,イ,2021069790,2019180868,648,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1145,イ,2021098772,2018028087,361,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1148,ロ,2021100729,2021029525,548,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1161,ロ,2021109952,2019151706,483,True,189,0.78905535,3,59,積層粘着シート及び積層粘着シートの製造方法,100;100;100;100;100;100;100;100;100;100,
CASE_1202,ロ,2021148587,2019128232,485,True,0,0.82888126,7,2,ライダー装置,100;100;100;100;100;100;100;100;100;100,
CASE_1215,イ,2021159220,2017144012,703,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1225,イ,2021166835,2021104294,557,True,18,0.84546757,10,14,遊技台,100;100;100;100;100;100;100;100;100;100,
CASE_1315,イ,2022056451,2021003364,886,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
CASE_1383,ロ,2022140025,2019059935,419,True,67,0.7497511,7,42,潤滑組成物におけるおよびこれらと関連する改善,100;100;100;100;100;100;100;100;100;100,
CASE_1399,イ,2022166420,2019083896,650,False,-1,,,,,100;100;100;100;100;100;100;100;100;100,
