case_id,pattern,syutugan,ax_docs,ay_docs
CASE_0155,イ,2017080220,2015163142,2014161693;2015000152
CASE_0365,イ,2018143828,2018042603,2014144242;2016116552
CASE_0445,イ,2019003580,2016024739,2011039909;2017505499
CASE_0466,イ,2019024709,2017086980,2012176025;2016123748
CASE_0493,ロ,2019044061,2018044095,2015101694;2016023649;2016094990
CASE_0545,ロ,2019092716,2017195914,2015181962;2017023338;2017196033
CASE_0560,ロ,2019111137,2019111141,2017104561;2017123931;2017131317
CASE_0561,ロ,2019111141,2019111137,2017104561;2017123931;2017131317
CASE_0563,イ,2019111457,2016106897,2011078515;2012217771
CASE_0566,イ,2019116049,2017222154,2011143615;2016196104
CASE_0618,ロ,2019150524,2017108952,2014144115;2017153736;2017196262
CASE_0654,イ,2019184855,2017181094,2011156861;2016046595
CASE_0658,イ,2019187957,2017213260,2016140383;2018015134
CASE_0745,イ,2020018344,2018078944,2016174745;2017012545
CASE_0771,イ,2020036782,2018126213,2018114058;2018126458
CASE_0803,イ,2020056884,2017116905,2017151293;2018087839
CASE_0809,ロ,2020058716,2018143656,2014046097;2014057894;2017185160
CASE_0821,ロ,2020068851,2018143656,2014046097;2014057894;2017185160
CASE_0829,ロ,2020081095,2018175328,2014054334;2018086157;2018099465
CASE_0855,イ,2020096650,2018038642,2018061733;2019097766
CASE_0893,ロ,2020120891,2018187480,2019010458;2016159059;2018143423
CASE_0905,イ,2020127515,2018166729,2016165370;2018161310
CASE_0906,イ,2020127516,2018166729,2016165370;2018161310
CASE_0912,イ,2020130352,2015080606,2017104296;2018192087
CASE_0913,イ,2020130381,2019000319,2016077903;2017164343
CASE_0960,イ,2020171155,2019221057,2018085795;2018196199
CASE_0971,ロ,2020178764,2018023886,2017035126;2017176212;2018068674
CASE_0986,ハ,2020185453,2019000447,2017047321;2017074482;2017080323;2017099569
CASE_0987,ハ,2020185454,2019000451,2017047321;2017074482;2017080323;2017099569
CASE_1027,ロ,2021003440,2018175053,2018099554;2018130392;2019069325
CASE_1030,ロ,2021006134,2019000452,2017000268;2017123941;2019072044
CASE_1065,イ,2021037176,2017221468,2013252370;2014184231
CASE_1104,イ,2021069790,2019180868,2019084182;2019170927
CASE_1145,イ,2021098772,2018028087,2010222591;2018111796
CASE_1148,ロ,2021100729,2021029525,2012235823;2016179344;2020116087
CASE_1161,ロ,2021109952,2019151706,2012255154;2018138682;2018188650
CASE_1202,ロ,2021148587,2019128232,2013104784;2017096816;2018004464
CASE_1215,イ,2021159220,2017144012,2018042897;2018110655
CASE_1225,イ,2021166835,2021104294,2015204959;2017000263
CASE_1315,イ,2022056451,2021003364,2017079993;2017217565
CASE_1383,ロ,2022140025,2019059935,2015527480;2018090714;2018520246
CASE_1399,イ,2022166420,2019083896,2019058431;2021016636
CASE_1428,イ,2022502779,2022503818,2012098813;2018147034
CASE_1429,イ,2022503818,2022502779,2012098813;2018147034
CASE_1456,ロ,2023022625,2016046233,2014220131;2018101588;2019110097
CASE_1470,イ,2023045705,2019000316,2016195710;2019166180
CASE_1475,イ,2023048234,2020116319,2010246807;2013052042
