case_id,syutugan,expected,vector_found_10,vector_rank_10,vector_found_50,vector_rank_50,vector_found_100,vector_rank_100,vector_top5_10
CASE_0155,JP2017080220A,JP2015163142A,False,-1,True,18,True,19,"['JP2017080220A', 'JP2019030724A', 'JP2017080214A', 'JP2018130271A', 'JP2017140219A']"
CASE_0365,JP2018143828A,JP2018042603A,False,-1,False,-1,False,-1,"['JP2018143828A', 'JP2018143827A', 'JP2020000439A', 'JP2020036986A', 'JP2018099545A']"
CASE_0445,JP2019003580A,JP2016024739A,False,-1,False,-1,False,-1,"['JP2019003580A', 'JP2023059537A', 'JP2019025067A', 'JP2023042305A', 'JP2021016475A']"
CASE_0466,JP2019024709A,JP2017086980A,False,-1,False,-1,False,-1,"['JP2019024709A', 'JP2019115767A', 'JP2018164595A', 'JP2017000845A', 'JP2020127515A']"
CASE_0493,JP2019044061A,JP2018044095A,True,8,True,8,True,8,"['JP2019044061A', 'JP2020097726A', 'JP2010065171A', 'JP2018194149A', 'JP2021025653A']"
CASE_0545,JP2019092716A,JP2017195914A,False,-1,False,-1,False,-1,"['JP2019092716A', 'JP2019092717A', 'JP2018187177A', 'JP2021083764A', 'JP2021016614A']"
CASE_0560,JP2019111137A,JP2019111141A,True,7,True,7,True,7,"['JP2019111137A', 'JP2019111135A', 'JP2019111132A', 'JP2018043099A', 'JP2018043100A']"
CASE_0561,JP2019111141A,JP2019111137A,True,4,True,4,True,4,"['JP2019111141A', 'JP2019111139A', 'JP2019111140A', 'JP2019111137A', 'JP2019111135A']"
CASE_0563,JP2019111457A,JP2016106897A,True,1,True,1,True,1,"['JP2016106897A', 'JP2019111457A', 'JP2017140178A', 'JP2016163741A', 'JP2018068804A']"
CASE_0566,JP2019116049A,JP2017222154A,True,7,True,7,True,7,"['JP2019116049A', 'JP2021146562A', 'JP2022008440A', 'JP2020128540A', 'JP2020139134A']"
CASE_0618,JP2019150524A,JP2017108952A,False,-1,False,-1,False,-1,"['JP2019150524A', 'JP2021120112A', 'JP2021019720A', 'JP2022071286A', 'JP2019146773A']"
CASE_0654,JP2019184855A,JP2017181094A,False,-1,False,-1,False,-1,"['JP2019184855A', 'JP2021146594A', 'JP2017228877A', 'JP2010010826A', 'JP2021169155A']"
CASE_0658,JP2019187957A,JP2017213260A,False,-1,False,-1,False,-1,"['JP2019201676A', 'JP2019187957A', 'JP2017077366A', 'JP2017077369A', 'JP2018202095A']"
